PC:C600 A:00 X:00 Y:00 S:FD P:24 INST:A2 20 A0
PC:C602 A:00 X:20 Y:00 S:FD P:24 INST:A0 00 A2
PC:C604 A:00 X:20 Y:00 S:FD P:26 INST:A2 03 86
PC:C606 A:00 X:03 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:00 X:03 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:03 X:03 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:06 X:03 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:06 X:03 Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:06 X:03 Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:07 X:03 Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:F8 X:03 Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:78 X:03 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:78 X:03 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:3C X:03 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:3C X:03 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:3C X:03 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:1E X:03 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:1E X:03 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:1E X:03 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0F X:03 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0F X:03 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0F X:03 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:07 X:03 Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:07 X:03 Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:07 X:03 Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:07 X:04 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:07 X:04 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:07 X:04 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:04 X:04 Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:08 X:04 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:08 X:04 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:08 X:04 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:08 X:05 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:08 X:05 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:08 X:05 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:05 X:05 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:0A X:05 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:0A X:05 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:0A X:05 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:0A X:06 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:0A X:06 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:0A X:06 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:06 X:06 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:0C X:06 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:0C X:06 Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:0C X:06 Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:0E X:06 Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:F1 X:06 Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:70 X:06 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:70 X:06 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:38 X:06 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:38 X:06 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:38 X:06 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:1C X:06 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:1C X:06 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:1C X:06 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0E X:06 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0E X:06 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0E X:06 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:07 X:06 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:07 X:06 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:07 X:06 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:06 Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:03 X:06 Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:03 X:06 Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:03 X:07 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:03 X:07 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:03 X:07 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:07 X:07 Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:0E X:07 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:0E X:07 Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:0E X:07 Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:0F X:07 Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:F0 X:07 Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:70 X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:70 X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:38 X:07 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:38 X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:38 X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:1C X:07 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:1C X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:1C X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0E X:07 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0E X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0E X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:07 X:07 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:07 X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:07 X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:07 Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:03 X:07 Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:03 X:07 Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:03 X:08 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:03 X:08 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:03 X:08 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:08 X:08 Y:00 S:FD P:25 INST:0A 24 3C
